ID (REMOVE),SYMBOL,REW (Convert to Numbers),HGNC approved name,Pfam domains,HGNC gene family tag,HGNC gene family description,Function,Modification,Protein complex,Target molecule,Target entity,Product
23133,PHF8,Reader,PHD finger protein 8,"JmjC PF02373 270-370, PHD PF00628 43-92, Pfam-B_22520 PB022520 499-557, Pfam-B_5629 PB005629 779-877","KDM, PHF","Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type",Histone modification erase,Histone methylation,#,histone,"H3K9me1, H3K9me2, H3K27me2, H4K20me1, H3K36me2, H3K36me3, H3K4me3","H3K9, H3K27, H4K20, H3K36, H3K4"
11105,PRDM7,Writer,PR domain containing 7,"KRAB PF01352 27-65, SSXRD PF09514 170-202","ZNF, ZKRAB","Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,#,#
11105,ZNF910,Writer,PR domain containing 7,"KRAB PF01352 27-65, SSXRD PF09514 170-202","ZNF, ZKRAB","Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,#,#
56979,PRDM9,Writer,PR domain containing 9,"KRAB PF01352 27-65, SSXRD PF09514 170-202, zf-C2H2 PF00096 860-882, zf-H2C2_2 PF13465 540-562 566-590 594-619 622-647 650-674 678-702 706-731 734-758 762-786 790-815 818-843 846-871","ZKRAB, ZNF","Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,H3K4,H3K4me3
56979,KMT8B,Writer,PR domain containing 9,"KRAB PF01352 27-65, SSXRD PF09514 170-202, zf-C2H2 PF00096 860-882, zf-H2C2_2 PF13465 540-562 566-590 594-619 622-647 650-674 678-702 706-731 734-758 762-786 790-815 818-843 846-871","ZKRAB, ZNF","Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,H3K4,H3K4me3
56979,PFM6,Writer,PR domain containing 9,"KRAB PF01352 27-65, SSXRD PF09514 170-202, zf-C2H2 PF00096 860-882, zf-H2C2_2 PF13465 540-562 566-590 594-619 622-647 650-674 678-702 706-731 734-758 762-786 790-815 818-843 846-871","ZKRAB, ZNF","Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,H3K4,H3K4me3
56979,ZNF899,Writer,PR domain containing 9,"KRAB PF01352 27-65, SSXRD PF09514 170-202, zf-C2H2 PF00096 860-882, zf-H2C2_2 PF13465 540-562 566-590 594-619 622-647 650-674 678-702 706-731 734-758 762-786 790-815 818-843 846-871","ZKRAB, ZNF","Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,H3K4,H3K4me3
11168,PSIP1,Reader,PC4 and SFRS1 interacting protein 1,"LEDGF PF11467 349-455, PWWP PF00855 5-87",#,#,Chromatin remodeling,#,#,chromatin,#,#
84717,HDGFL2,Reader,HDGF like 2,"LEDGF PF11467 472-578, PWWP PF00855 5-87, Pfam-B_32406 PB032406 111-159",#,#,Histone modification read,#,#,histone,"H3K79me3, H4K20me3, H3K36me3",#
83852,SETDB2,Writer,"SET domain, bifurcated 2","MBD PF01429 160-232, Pre-SET PF05033 245-359, SET PF00856 378-694",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K9,H3K9me3
9869,SETDB1,Writer,"SET domain, bifurcated 1","MBD PF01429 594-668, Pfam-B_23747 PB023747 365-520, Pfam-B_27578 PB027578 341-364, Pre-SET PF05033 681-795, SET PF00856 814-1266","KMT, TDRD","Chromatin-modifying enzymes / K-methyltransferases, Tudor domain containing",Histone modification write,Histone methylation,#,histone,H3K9,H3K9me3
9869,KG1T,Writer,"SET domain, bifurcated 1","MBD PF01429 594-668, Pfam-B_23747 PB023747 365-520, Pfam-B_27578 PB027578 341-364, Pre-SET PF05033 681-795, SET PF00856 814-1266","KMT, TDRD","Chromatin-modifying enzymes / K-methyltransferases, Tudor domain containing",Histone modification write,Histone methylation,#,histone,H3K9,H3K9me3
9869,KIAA0067,Writer,"SET domain, bifurcated 1","MBD PF01429 594-668, Pfam-B_23747 PB023747 365-520, Pfam-B_27578 PB027578 341-364, Pre-SET PF05033 681-795, SET PF00856 814-1266","KMT, TDRD","Chromatin-modifying enzymes / K-methyltransferases, Tudor domain containing",Histone modification write,Histone methylation,#,histone,H3K9,H3K9me3
9869,KMT1E,Writer,"SET domain, bifurcated 1","MBD PF01429 594-668, Pfam-B_23747 PB023747 365-520, Pfam-B_27578 PB027578 341-364, Pre-SET PF05033 681-795, SET PF00856 814-1266","KMT, TDRD","Chromatin-modifying enzymes / K-methyltransferases, Tudor domain containing",Histone modification write,Histone methylation,#,histone,H3K9,H3K9me3
9869,TDRD21,Writer,"SET domain, bifurcated 1","MBD PF01429 594-668, Pfam-B_23747 PB023747 365-520, Pfam-B_27578 PB027578 341-364, Pre-SET PF05033 681-795, SET PF00856 814-1266","KMT, TDRD","Chromatin-modifying enzymes / K-methyltransferases, Tudor domain containing",Histone modification write,Histone methylation,#,histone,H3K9,H3K9me3
54799,MBTD1,Reader,mbt domain containing 1,"MBT PF02820 183-253 289-360 388-464 496-568, Pfam-B_45320 PB045320 1-59",#,#,Polycomb group (PcG) protein,#,#,histone,"H4K20me1, H4K20me2",#
84456,L3MBTL3,Reader,l(3)mbt-like 3 (Drosophila),"MBT PF02820 268-340 375-447 479-548, Pfam-B_29190 PB029190 1-79, SAM_1 PF00536 706-770",SAMD,Sterile alpha motif (SAM) domain containing,Histone modification read,#,#,histone,H4K20me,#
91133,L3MBTL4,Reader,l(3)mbt-like 4 (Drosophila),"MBT PF02820 88-160 196-268 300-371, SAM_1 PF00536 541-605, zf-C2HC PF01530 376-407",SAMD,Sterile alpha motif (SAM) domain containing,Histone modification read,#,#,histone,HKme,#
55170,PRMT6,Writer,protein arginine methyltransferase 6,Methyltransf_18 PF12847 82-189,PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,"H2AR3, H3R2, H4R4","H2AR3me, H4R3me, H3R2me2a"
55170,HRMT1L6,Writer,protein arginine methyltransferase 6,Methyltransf_18 PF12847 82-189,PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,"H2AR3, H3R2, H4R4","H2AR3me, H4R3me, H3R2me2a"
3276,PRMT1,Writer,protein arginine methyltransferase 1,Methyltransf_31 PF13847 76-216,PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,H4R3,"H4R3me1, H4R3me2a"
3276,ANM1,Writer,protein arginine methyltransferase 1,Methyltransf_31 PF13847 76-216,PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,H4R3,"H4R3me1, H4R3me2a"
3276,HCP1,Writer,protein arginine methyltransferase 1,Methyltransf_31 PF13847 76-216,PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,H4R3,"H4R3me1, H4R3me2a"
80854,SETD7,Writer,SET domain containing (lysine methyltransferase) 7,"MORN PF02493 13-35 36-58 60-81 106-128, SET PF00856 227-336",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K4,H3K4me1
10943,MSL3,Reader,male-specific lethal 3 homolog (Drosophila),"MRG PF05712 136-504, Tudor-knot PF11717 11-74",#,#,Histone modification read,#,#,histone,H4K20me1,#
2956,MSH6,Reader,mutS homolog 6,"MutS_I PF01624 407-526, MutS_II PF05188 537-703, MutS_III PF05192 737-1065, MutS_IV PF05190 932-1024, MutS_V PF00488 1074-1326, PWWP PF00855 90-182",#,#,Histone modification read,#,#,histone,H3K36me3,#
84656,GLYR1,Reader,glyoxylate reductase 1 homolog (Arabidopsis),"NAD_binding_11 PF14833 430-551, NAD_binding_2 PF03446 267-429, PWWP PF00855 6-89",#,#,Histone modification read,#,#,histone,H3K4me3,#
7158,TP53,Reader,tumor protein p53,"P53 PF00870 95-289, P53_TAD PF08563 5-29, P53_tetramer PF07710 318-359",#,#,"Histone modification write cofactor, TF","Histone acetylation, TF activator, TF repressor",#,histone,H3,#
2138,EYA1,Writer,EYA transcriptional coactivator and phosphatase 1,"Pfam-B_10178 PB010178 530-586, Pfam-B_3150 PB003150 209-513",PTPE,Protein tyrosine phosphatases / Asp-based PTPs,Histone modification erase,Histone phosphorylation,#,histone,H2AXT142,#
2138,BOR,Writer,EYA transcriptional coactivator and phosphatase 1,"Pfam-B_10178 PB010178 530-586, Pfam-B_3150 PB003150 209-513",PTPE,Protein tyrosine phosphatases / Asp-based PTPs,Histone modification erase,Histone phosphorylation,#,histone,H2AXT142,#
2122,PRDM3,Writer,PR domain containing 4,"Pfam-B_13260 PB013260 461-509, zf-C2H2 PF00096 730-752, zf-H2C2_2 PF13465 632-657 660-683 688-713",ZNF,"Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,H4R3,H4R3me2s
2122,AML1-EVI-1,Writer,PR domain containing 4,"Pfam-B_13260 PB013260 461-509, zf-C2H2 PF00096 730-752, zf-H2C2_2 PF13465 632-657 660-683 688-713",ZNF,"Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,H4R3,H4R3me2s
2122,EVI1,Writer,PR domain containing 4,"Pfam-B_13260 PB013260 461-509, zf-C2H2 PF00096 730-752, zf-H2C2_2 PF13465 632-657 660-683 688-713",ZNF,"Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,H4R3,H4R3me2s
2122,KMT8E,Writer,PR domain containing 4,"Pfam-B_13260 PB013260 461-509, zf-C2H2 PF00096 730-752, zf-H2C2_2 PF13465 632-657 660-683 688-713",ZNF,"Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,H4R3,H4R3me2s
2122,MDS1,Writer,PR domain containing 4,"Pfam-B_13260 PB013260 461-509, zf-C2H2 PF00096 730-752, zf-H2C2_2 PF13465 632-657 660-683 688-713",ZNF,"Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,H4R3,H4R3me2s
2122,MDS1-EVI1,Writer,PR domain containing 4,"Pfam-B_13260 PB013260 461-509, zf-C2H2 PF00096 730-752, zf-H2C2_2 PF13465 632-657 660-683 688-713",ZNF,"Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,H4R3,H4R3me2s
2122,MECOM,Writer,PR domain containing 4,"Pfam-B_13260 PB013260 461-509, zf-C2H2 PF00096 730-752, zf-H2C2_2 PF13465 632-657 660-683 688-713",ZNF,"Zinc fingers, C2H2-type",Histone modification write,Histone methylation,#,histone,H4R3,H4R3me2s
54496,PRMT7,Writer,protein arginine methyltransferase 7,"Pfam-B_13426 PB013426 301-359, PrmA PF06325 54-149",PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,"H2A, H4R3","H2A, H4R3me2"
29947,DNMT3L,Reader,DNA (cytosine-5-)-methyltransferase 3-like,"Pfam-B_139748 PB139748 181-229, Pfam-B_41249 PB041249 91-179",#,#,Histone modification read,#,#,histone,H3K4,#
4302,MLLT6,Reader,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6","Pfam-B_16181 PB016181 791-1091, Pfam-B_3448 PB003448 551-789, zf-HC5HC2H_2 PF13832 63-180",PHF,"Zinc fingers, PHD-type",Histone modification write cofactor,Histone methylation,#,histone,H3K79,H3K79me3
84787,SUV420H2,Writer,suppressor of variegation 4-20 homolog 2 (Drosophila),"Pfam-B_18005 PB018005 261-379, Pfam-B_59617 PB059617 1-39, Pfam-B_6511 PB006511 381-460, SET PF00856 121-218",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H4K20,H4K20me3
29072,SETD2,Writer,SET domain containing 2,"Pfam-B_18604 PB018604 305-521, Pfam-B_22486 PB022486 541-599, Pfam-B_2796 PB002796 2146-2339, Pfam-B_3607 PB003607 1826-2144, Pfam-B_67824 PB067824 31-77, SET PF00856 1561-1667, SRI PF08236 2465-2559, WW PF00397 2391-2420",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K36me2,H3K36me3
29072,HIF-1,Writer,SET domain containing 2,"Pfam-B_18604 PB018604 305-521, Pfam-B_22486 PB022486 541-599, Pfam-B_2796 PB002796 2146-2339, Pfam-B_3607 PB003607 1826-2144, Pfam-B_67824 PB067824 31-77, SET PF00856 1561-1667, SRI PF08236 2465-2559, WW PF00397 2391-2420",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K36me2,H3K36me3
29072,HYPB,Writer,SET domain containing 2,"Pfam-B_18604 PB018604 305-521, Pfam-B_22486 PB022486 541-599, Pfam-B_2796 PB002796 2146-2339, Pfam-B_3607 PB003607 1826-2144, Pfam-B_67824 PB067824 31-77, SET PF00856 1561-1667, SRI PF08236 2465-2559, WW PF00397 2391-2420",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K36me2,H3K36me3
29072,KMT3A,Writer,SET domain containing 2,"Pfam-B_18604 PB018604 305-521, Pfam-B_22486 PB022486 541-599, Pfam-B_2796 PB002796 2146-2339, Pfam-B_3607 PB003607 1826-2144, Pfam-B_67824 PB067824 31-77, SET PF00856 1561-1667, SRI PF08236 2465-2559, WW PF00397 2391-2420",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K36me2,H3K36me3
51111,SUV420H1,Writer,suppressor of variegation 4-20 homolog 1 (Drosophila),"Pfam-B_23340 PB023340 771-839, Pfam-B_24134 PB024134 711-769, Pfam-B_32221 PB032221 551-609, Pfam-B_49669 PB049669 841-883, SET PF00856 99-308",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H4K20,H4K20me3
51111,KMT5B,Writer,suppressor of variegation 4-20 homolog 1 (Drosophila),"Pfam-B_23340 PB023340 771-839, Pfam-B_24134 PB024134 711-769, Pfam-B_32221 PB032221 551-609, Pfam-B_49669 PB049669 841-883, SET PF00856 99-308",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H4K20,H4K20me3
79918,SETD6,Writer,SET domain containing 6,"Pfam-B_25912 PB025912 1-69, Rubis-subs-bind PF09273 329-465, SET PF00856 74-286",#,#,"Chromatin remodeling, Histone modification write",Histone methylation,#,histone,#,#
63976,PRDM16,Writer,PR domain containing 16,"Pfam-B_2662 PB002662 14-127, zf-C2H2 PF00096 337-360 366-388 394-416 423-445 979-1002 1008-1032, zf-C2H2_6 PF13912 229-255, zf-H2C2_2 PF13465 295-319 965-989",ZNF,"Zinc fingers, C2H2-type","Histone modification write cofactor, TF","Histone methylation, TF repressor",#,"histone, DNA","H3K9, DNA motif",H3K9me
63976,KMT8F,Writer,PR domain containing 16,"Pfam-B_2662 PB002662 14-127, zf-C2H2 PF00096 337-360 366-388 394-416 423-445 979-1002 1008-1032, zf-C2H2_6 PF13912 229-255, zf-H2C2_2 PF13465 295-319 965-989",ZNF,"Zinc fingers, C2H2-type","Histone modification write cofactor, TF","Histone methylation, TF repressor",#,"histone, DNA","H3K9, DNA motif",H3K9me
63976,MEL1,Writer,PR domain containing 16,"Pfam-B_2662 PB002662 14-127, zf-C2H2 PF00096 337-360 366-388 394-416 423-445 979-1002 1008-1032, zf-C2H2_6 PF13912 229-255, zf-H2C2_2 PF13465 295-319 965-989",ZNF,"Zinc fingers, C2H2-type","Histone modification write cofactor, TF","Histone methylation, TF repressor",#,"histone, DNA","H3K9, DNA motif",H3K9me
63976,PFM13,Writer,PR domain containing 16,"Pfam-B_2662 PB002662 14-127, zf-C2H2 PF00096 337-360 366-388 394-416 423-445 979-1002 1008-1032, zf-C2H2_6 PF13912 229-255, zf-H2C2_2 PF13465 295-319 965-989",ZNF,"Zinc fingers, C2H2-type","Histone modification write cofactor, TF","Histone methylation, TF repressor",#,"histone, DNA","H3K9, DNA motif",H3K9me
64754,SMYD3,Writer,SET and MYND domain containing 3,"Pfam-B_27974 PB027974 391-422, SET PF00856 15-240, zf-MYND PF01753 47-87","ZMYND, KMT","Zinc fingers, MYND-type, Chromatin-modifying enzymes / K-methyltransferases",Histone modification write,Histone methylation,#,histone,"H3K4, H3K5","H3K4me2, H3K4me3, H3K5me2, H3K5me3"
7799,PRDM2,Writer,"PR domain containing 2, with ZNF domain","Pfam-B_29325 PB029325 1053-1085, SET PF00856 41-141, zf-C2H2 PF00096 390-412, zf-C2H2_4 PF13894 360-383 483-506 1134-1157 1191-1214 1455-1475",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K9,H3K9me
7799,HUMHOXY1,Writer,"PR domain containing 2, with ZNF domain","Pfam-B_29325 PB029325 1053-1085, SET PF00856 41-141, zf-C2H2 PF00096 390-412, zf-C2H2_4 PF13894 360-383 483-506 1134-1157 1191-1214 1455-1475",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K9,H3K9me
7799,KMT8,Writer,"PR domain containing 2, with ZNF domain","Pfam-B_29325 PB029325 1053-1085, SET PF00856 41-141, zf-C2H2 PF00096 390-412, zf-C2H2_4 PF13894 360-383 483-506 1134-1157 1191-1214 1455-1475",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K9,H3K9me
7799,KMT8A,Writer,"PR domain containing 2, with ZNF domain","Pfam-B_29325 PB029325 1053-1085, SET PF00856 41-141, zf-C2H2 PF00096 390-412, zf-C2H2_4 PF13894 360-383 483-506 1134-1157 1191-1214 1455-1475",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K9,H3K9me
7799,MTB-ZF,Writer,"PR domain containing 2, with ZNF domain","Pfam-B_29325 PB029325 1053-1085, SET PF00856 41-141, zf-C2H2 PF00096 390-412, zf-C2H2_4 PF13894 360-383 483-506 1134-1157 1191-1214 1455-1475",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K9,H3K9me
7799,RIZ,Writer,"PR domain containing 2, with ZNF domain","Pfam-B_29325 PB029325 1053-1085, SET PF00856 41-141, zf-C2H2 PF00096 390-412, zf-C2H2_4 PF13894 360-383 483-506 1134-1157 1191-1214 1455-1475",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K9,H3K9me
7799,RIZ1,Writer,"PR domain containing 2, with ZNF domain","Pfam-B_29325 PB029325 1053-1085, SET PF00856 41-141, zf-C2H2 PF00096 390-412, zf-C2H2_4 PF13894 360-383 483-506 1134-1157 1191-1214 1455-1475",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K9,H3K9me
7799,RIZ2,Writer,"PR domain containing 2, with ZNF domain","Pfam-B_29325 PB029325 1053-1085, SET PF00856 41-141, zf-C2H2 PF00096 390-412, zf-C2H2_4 PF13894 360-383 483-506 1134-1157 1191-1214 1455-1475",KMT,Chromatin-modifying enzymes / K-methyltransferases,Histone modification write,Histone methylation,#,histone,H3K9,H3K9me
59335,PRDM12,Writer,PR domain containing 12,"Pfam-B_39033 PB039033 1-49, zf-H2C2_2 PF13465 257-282 285-310",ZNF,"Zinc fingers, C2H2-type",Histone modification write cofactor,Histone methylation,#,histone,H3K9,H3K9me
55904,KMT2E,Writer,lysine (K)-specific methyltransferase 2E,"PHD PF00628 120-166, Pfam-B_13611 PB013611 1791-1856, Pfam-B_19470 PB019470 1301-1369, Pfam-B_19601 PB019601 1131-1179, Pfam-B_20626 PB020626 961-1129, Pfam-B_22469 PB022469 871-959, Pfam-B_24586 PB024586 1261-1299, Pfam-B_7010 PB007010 1651-1789, Pfam-B_7713 PB007713 731-869, SET PF00856 342-447","KMT, PHF","Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type",Histone modification write,Histone methylation,#,histone,H3K4,"H3K4me1, H3K4me2"
55904,HDCMC04P,Writer,lysine (K)-specific methyltransferase 2E,"PHD PF00628 120-166, Pfam-B_13611 PB013611 1791-1856, Pfam-B_19470 PB019470 1301-1369, Pfam-B_19601 PB019601 1131-1179, Pfam-B_20626 PB020626 961-1129, Pfam-B_22469 PB022469 871-959, Pfam-B_24586 PB024586 1261-1299, Pfam-B_7010 PB007010 1651-1789, Pfam-B_7713 PB007713 731-869, SET PF00856 342-447","KMT, PHF","Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type",Histone modification write,Histone methylation,#,histone,H3K4,"H3K4me1, H3K4me2"
55904,MLL5,Writer,lysine (K)-specific methyltransferase 2E,"PHD PF00628 120-166, Pfam-B_13611 PB013611 1791-1856, Pfam-B_19470 PB019470 1301-1369, Pfam-B_19601 PB019601 1131-1179, Pfam-B_20626 PB020626 961-1129, Pfam-B_22469 PB022469 871-959, Pfam-B_24586 PB024586 1261-1299, Pfam-B_7010 PB007010 1651-1789, Pfam-B_7713 PB007713 731-869, SET PF00856 342-447","KMT, PHF","Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type",Histone modification write,Histone methylation,#,histone,H3K4,"H3K4me1, H3K4me2"
64324,NSD1,Writer,nuclear receptor binding SET domain protein 1,"PHD PF00628 1709-1751, PWWP PF00855 321-419 1754-1844, Pfam-B_7228 PB007228 821-937, SET PF00856 1953-2059","KMT, PHF","Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type",Histone modification write,Histone methylation,#,histone,"H3K36, H4K20","H3K36me, H4K20me"
64324,ARA 267.00,Writer,nuclear receptor binding SET domain protein 1,"PHD PF00628 1709-1751, PWWP PF00855 321-419 1754-1844, Pfam-B_7228 PB007228 821-937, SET PF00856 1953-2059","KMT, PHF","Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type",Histone modification write,Histone methylation,#,histone,"H3K36, H4K20","H3K36me, H4K20me"
64324,FLJ22263,Writer,nuclear receptor binding SET domain protein 1,"PHD PF00628 1709-1751, PWWP PF00855 321-419 1754-1844, Pfam-B_7228 PB007228 821-937, SET PF00856 1953-2059","KMT, PHF","Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type",Histone modification write,Histone methylation,#,histone,"H3K36, H4K20","H3K36me, H4K20me"
64324,KMT3B,Writer,nuclear receptor binding SET domain protein 1,"PHD PF00628 1709-1751, PWWP PF00855 321-419 1754-1844, Pfam-B_7228 PB007228 821-937, SET PF00856 1953-2059","KMT, PHF","Chromatin-modifying enzymes / K-methyltransferases, Zinc fingers, PHD-type",Histone modification write,Histone methylation,#,histone,"H3K36, H4K20","H3K36me, H4K20me"
148479,PHF13,Reader,PHD finger protein 13,"PHD PF00628 234-280, Pfam-B_28476 PB028476 1-49",PHF,"Zinc fingers, PHD-type",Histone modification read,#,#,histone,H3K4me3,#
326,AIRE,Reader,autoimmune regulator,"PHD PF00628 298-343, Pfam-B_9104 PB009104 481-543, SAND PF01342 189-249, Sp100 PF03172 1-106",PHF,"Zinc fingers, PHD-type","Histone modification read, TF",#,#,"histone, DNA","H3K4, H3K4me3, DNA motif",#
9678,PHF14,Reader,PHD finger protein 14,"PHD PF00628 321-380 727-779, Pfam-B_16803 PB016803 175-216, Pfam-B_19012 PB019012 218-295, zf-HC5HC2H_2 PF13832 383-498",PHF,"Zinc fingers, PHD-type",Histone modification read,#,#,histone,"H2A, H2B, H3","H2Aac, H2Bac, H3ac"
80853,KDM7A,Reader,lysine (K)-specific demethylase 7A,"PHD PF00628 39-88, JmjC PF02373 269-369, Pfam-B_18122 PB018122 381-538, Pfam-B_13686 PB013686 541-639, Pfam-B_1060 PB001060 853-939","KDM, PHF","Chromatin-modifying enzymes / K-demethylases, Zinc fingers, PHD-type",Histone modification erase,Histone methylation,#,histone,"H3K9me2, H3K27me2, H4K20me1","H3K9, H3K27, H4K20"
57649,PHF12,Reader,PHD finger protein 12,PHD PF00628 58-105 273-318,PHF,"Zinc fingers, PHD-type",Histone modification erase cofactor,Histone acetylation,#,histone,#,#
10155,TRIM28,Reader,tripartite motif containing 28,"PHD PF00628 627-672, zf-B_box PF00643 148-195 204-245, zf-RING_5 PF14634 64-122","TRIM, RNF, PHF","Tripartite motif containing / Tripartite motif containing, RING-type (C3HC4) zinc fingers, Zinc fingers, PHD-type",Histone modification read,#,#,histone,H3,#
8028,MLLT10,Reader,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10","PHD_2 PF13831 36-72, Pfam-B_12689 PB012689 541-619, Pfam-B_12729 PB012729 821-879, Pfam-B_4074 PB004074 234-538, Pfam-B_6933 PB006933 721-819, Pfam-B_9291 PB009291 621-719, zf-HC5HC2H_2 PF13832 80-197",PHF,"Zinc fingers, PHD-type",Histone modification write cofactor,Histone methylation,#,histone,H3K79,H3K79me3
56341,PRMT8,Writer,protein arginine methyltransferase 8,PrmA PF06325 102-200,PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,H4R,H4Rme
56341,HRMT1L3,Writer,protein arginine methyltransferase 8,PrmA PF06325 102-200,PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,H4R,H4Rme
56341,HRMT1L4,Writer,protein arginine methyltransferase 8,PrmA PF06325 102-200,PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,H4R,H4Rme
90826,PRMT9,Writer,protein arginine methyltransferase 9,"PrmA PF06325 167-257, TPR_11 PF13414 67-132",PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,H4R3,H4R3me2
3275,PRMT2,Writer,protein arginine methyltransferase 2,"PRMT5 PF05185 114-415, SH3_9 PF14604 37-84",PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,H4,H4me
3275,HRMT1L1,Writer,protein arginine methyltransferase 2,"PRMT5 PF05185 114-415, SH3_9 PF14604 37-84",PRMT,Protein arginine methyltransferases,Histone modification write,Histone methylation,#,histone,H4,H4me
3068,HDGF,Reader,hepatoma-derived growth factor,PWWP PF00855 10-92,#,#,"Chromatin remodeling, TF",TF repressor,#,DNA,DNA motif,#
54904,WHSC1L1,Reader,Wolf-Hirschhorn syndrome candidate 1-like 1,"PWWP PF00855 268-378 958-1047, Pfam-B_7848 PB007848 619-671, SET PF00856 1156-1262",#,#,"Chromatin remodeling cofactor, TF",#,#,histone,"H3K4, H3K27",#
55063,ZCWPW1,Reader,"zinc finger, CW type with PWWP domain 1","PWWP PF00855 315-411, Pfam-B_36867 PB036867 512-557, zf-CW PF07496 254-303",#,#,Histone modification read,#,#,histone,H3K4me,#
5897,RAG2,Reader,recombination activating gene 2,"RAG2 PF03089 51-389, RAG2_PHD PF13341 414-491",#,#,Histone modification read,#,#,histone,H3K4me3,#
84193,SETD3,Writer,SET domain containing 3,"Rubis-subs-bind PF09273 343-475, SET PF00856 105-314",#,#,Histone modification write,Histone methylation,#,histone,H3K36,H3K36me
56950,SMYD2,Writer,SET and MYND domain containing 2,"SET PF00856 18-241, zf-MYND PF01753 52-90","ZMYND, KMT","Zinc fingers, MYND-type, Chromatin-modifying enzymes / K-methyltransferases",Histone modification write,Histone methylation,#,histone,"H3K4, H3K36","H3K4me, H3K36me2"
56950,HSKM-B,Writer,SET and MYND domain containing 2,"SET PF00856 18-241, zf-MYND PF01753 52-90","ZMYND, KMT","Zinc fingers, MYND-type, Chromatin-modifying enzymes / K-methyltransferases",Histone modification write,Histone methylation,#,histone,"H3K4, H3K36","H3K4me, H3K36me2"
56950,KMT3C,Writer,SET and MYND domain containing 2,"SET PF00856 18-241, zf-MYND PF01753 52-90","ZMYND, KMT","Zinc fingers, MYND-type, Chromatin-modifying enzymes / K-methyltransferases",Histone modification write,Histone methylation,#,histone,"H3K4, H3K36","H3K4me, H3K36me2"
